location_name,coordinate
Aberdare,N8 24.540 E30 11.160
Abiemnhom,N9 23.903 E28 49.400
Abon,N9 08.010 E28 21.090
Abuong,N9 07.000 E32 12.000
Aburoc,N10 07.700 E32 05.690
Abuyong,N6 21.410 E31 08.120
Abyei,N9 35.560 E28 26.160
Achillbong,N8 39.290 E31 22.330
Acumsum,N7 55.380 E28 10.510
Ad Damazin,N11 47.050 E34 20.020
Adis ababa,N9 38.060 E39 15.780
Adok,N8 09.300 E30 18.000
Agok Real,N9 21.310 E28 34.990
Ajak,N8 48.500 E27 40.440
Ajuong Thok,N10 00.333 E30 16.065
Akak,N9 04.100 E28 07.110
Akobo,N7 46.760 E33 00.140
Akoc,N9 08.876 E28 01.338
Akoka,N9 44.190 E32 10.240
Akon,N8 53.300 E27 57.440
Akot,N6 32.900 E30 02.100
Akuem,N8 57.360 E27 30.900
Alek,N8 39.970 E28 09.190
Arua,N3 03.000 E30 55.000
Atar,N9 15.200 E31 20.320
Aweil,N8 46.800 E27 24.120
Aweirial,N6 07.730 E31 10.410
Ayod,N8 07.630 E31 24.590
Bangui,N4 23.550 E18 31.080
Beneshowa,N9 39.850 E33 31.800
Bentiu,N9 14.460 E29 47.010
Billing,N6 23.392 E29 47.903
Bir Di,N7 33.330 E28 44.380
Boaw,N8 50.772 E29 43.763
Boma,N6 10.780 E34 24.000
Boma West,N6 12.207 E33 59.649
Bor,N6 11.800 E31 36.090
Boung,N8 50.240 E32 59.930
Brong,N6 11.140 E31 47.000
Bunia,N1 33.510 E30 13.160
Chot-bo,N9 25.061 E30 40.848
Chotbora,N9 12.370 E33 45.450
Chukudum,N4 12.240 E33 28.180
Chuli,N8 59.300 E32 25.030
Cuiebet,N7 01.900 E29 14.830
dablual,N8 19.100 E30 00.590
Diego Garcia Navy,S7 18.845 E72 24.660
Doko,N3 08.580 E29 35.347
Doro,N9 50.590 E33 45.030
Duar,N8 50.700 E29 54.800
Duk Padiet,N7 45.000 E31 24.000
Duk Pagaak,N7 55.800 E31 29.870
Entebbe,N0 02.410 E32 26.350
Feshoda/Kodok,N9 50.560 E32 07.019
Gambella,N8 17.000 E34 35.000
Ganyel,N7 24.317 E30 28.320
Gap Mayom,N7 41.900 E30 04.500
Garieng,N8 53.950 E33 01.380
Gogrial,N8 32.000 E28 07.000
Gok Machar,N9 12.990 E26 51.280
GORWAI,N8 08.150 E31 11.340
Guit,N9 08.386 E30 04.017
Gulu,N2 48.000 E32 16.000
Gumri,N9 57.300 E30 16.110
Gumuruk,N6 38.630 E32 54.410
Haat,N8 30.680 E30 37.970
Ibba,N4 47.660 E29 09.353
Ikotos,N4 04.590 E33 07.110
Jaibor,N9 23.500 E30 40.240
Jatome,N8 38.220 E33 47.360
Jiech,N8 21.750 E31 08.140
Juba,N4 52.300 E31 35.600
kaduguli,N11 08.290 E29 41.010
Kaikunyi,N8 05.610 E32 23.180
KajoKeji,N3 51.630 E31 39.170
Kaldak,N9 20.320 E31 31.290
Kapoeta to Kuron,N4 47.000 E33 35.000
kaunda,N11 02.660 E30 33.750
